method,condition,codec,kbps,pix_fmt,lossless,group,mae,ci_low,ci_high,n_subjects
green,h264_444_100k,h264,100.0,yuv444p,False,I-III,21.774998204953974,17.2859038468332,27.021252075553218,18
green,h264_444_100k,h264,100.0,yuv444p,False,IV-VI,25.60411056252253,19.406276654507273,31.353375679429593,18
green,h264_444_1600k,h264,1600.0,yuv444p,False,I-III,20.190346128019687,15.596385061886432,24.37625451550271,18
green,h264_444_1600k,h264,1600.0,yuv444p,False,IV-VI,24.648141479919982,18.60602162264397,30.26992051796452,18
green,h264_444_200k,h264,200.0,yuv444p,False,I-III,20.824843718237716,16.492876572723883,26.1627242986945,18
green,h264_444_200k,h264,200.0,yuv444p,False,IV-VI,25.411312569837246,19.418234641921263,31.378489690989845,18
green,h264_444_400k,h264,400.0,yuv444p,False,I-III,20.699391393150904,16.03079166113414,25.82211109598891,18
green,h264_444_400k,h264,400.0,yuv444p,False,IV-VI,25.668131000218256,20.037892101500514,31.781346999289763,18
green,h264_444_800k,h264,800.0,yuv444p,False,I-III,19.68345476089354,14.987190051514787,24.601102837058196,18
green,h264_444_800k,h264,800.0,yuv444p,False,IV-VI,25.25518060948182,19.07999798158451,30.93083458601512,18
green,h264_800k,h264,800.0,yuv420p,False,I-III,20.720013818105695,16.283393914492773,25.313390796187868,18
green,h264_800k,h264,800.0,yuv420p,False,IV-VI,24.856932673711114,18.903161148214103,30.725134569302657,18
green,h265_100k,h265,100.0,yuv420p,False,I-III,20.850394712567848,15.822007800161904,25.580626508385894,18
green,h265_100k,h265,100.0,yuv420p,False,IV-VI,24.827965416198122,18.664541603890296,30.688919153290215,18
green,h265_1600k,h265,1600.0,yuv420p,False,I-III,20.24747271808121,15.943426070994564,24.894418596124037,18
green,h265_1600k,h265,1600.0,yuv420p,False,IV-VI,24.717360287108175,18.872366704087675,30.16156649312781,18
green,h265_200k,h265,200.0,yuv420p,False,I-III,20.15266707882038,15.714413082444421,25.02632964174069,18
green,h265_200k,h265,200.0,yuv420p,False,IV-VI,24.667808410888465,18.826399087705248,30.473830246490014,18
green,h265_400k,h265,400.0,yuv420p,False,I-III,20.392625523951367,16.029776265996478,25.0708271439359,18
green,h265_400k,h265,400.0,yuv420p,False,IV-VI,25.027380249902443,18.737382795719036,30.700908731091967,18
green,h265_800k,h265,800.0,yuv420p,False,I-III,20.385451696302304,15.772097996379086,25.155707175769265,18
green,h265_800k,h265,800.0,yuv420p,False,IV-VI,24.43195791138774,18.610456450136752,30.784392030028584,18
green,lossless_rgb,ffv1,,bgr0,True,I-III,20.35797590468536,16.23563045551207,25.451418091115144,18
green,lossless_rgb,ffv1,,bgr0,True,IV-VI,24.498781704426676,18.494413708648047,30.694214677183478,18
green,lossless_yuv420,h264,,yuv420p,True,I-III,20.02222720968908,15.587136570408262,25.17372642401429,18
green,lossless_yuv420,h264,,yuv420p,True,IV-VI,24.730545065630317,19.27990209847229,30.423619131362774,18
green,lossless_yuv444,h264,,yuv444p,True,I-III,20.149732564551286,15.844109620547666,24.86991052071743,18
green,lossless_yuv444,h264,,yuv444p,True,IV-VI,24.789280937873766,19.140445842238343,30.636757567257526,18
green,vp9_100k,vp9,100.0,yuv420p,False,I-III,20.985033803649245,16.669672831919176,25.89468544389467,18
green,vp9_100k,vp9,100.0,yuv420p,False,IV-VI,25.114986708867637,19.29848409054502,31.044361594485082,18
green,vp9_1600k,vp9,1600.0,yuv420p,False,I-III,20.32118324788142,15.746402263946418,25.40750754346088,18
green,vp9_1600k,vp9,1600.0,yuv420p,False,IV-VI,24.94169368746009,19.29328901301072,30.87069043663545,18
green,vp9_200k,vp9,200.0,yuv420p,False,I-III,20.62333404556666,16.145523667174185,25.25216865831422,18
green,vp9_200k,vp9,200.0,yuv420p,False,IV-VI,24.82442464578236,19.347781442549408,31.00819229915258,18
green,vp9_400k,vp9,400.0,yuv420p,False,I-III,20.421981459333153,15.903328622820995,25.13220488566852,18
green,vp9_400k,vp9,400.0,yuv420p,False,IV-VI,25.726670842990583,19.95993464746255,31.72693269294023,18
green,vp9_800k,vp9,800.0,yuv420p,False,I-III,20.56150751153054,16.16124684623476,25.601045198594097,18
green,vp9_800k,vp9,800.0,yuv420p,False,IV-VI,24.79016308752314,19.081700786376775,30.574396021664203,18
ica,h264_100k,h264,100.0,yuv420p,False,I-III,21.26867778613426,16.423536321435886,26.393920826456586,18
ica,h264_100k,h264,100.0,yuv420p,False,IV-VI,23.228442855123532,17.499696268024852,28.91301049585247,18
ica,h264_1600k,h264,1600.0,yuv420p,False,I-III,18.499490053600674,13.220413452038112,23.814561180763782,18
ica,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,22.72388140115357,16.851234826038333,28.927908087608625,18
ica,h264_200k,h264,200.0,yuv420p,False,I-III,20.63354347292846,16.11467335090145,25.850312338866043,18
ica,h264_200k,h264,200.0,yuv420p,False,IV-VI,24.630027702384545,18.091280030344326,30.969103059473156,18
ica,h264_400k,h264,400.0,yuv420p,False,I-III,19.98701673827517,15.195065916860145,25.22176198204128,18
ica,h264_400k,h264,400.0,yuv420p,False,IV-VI,23.380639621921656,17.512219864120404,29.20022962744153,18
ica,h264_444_100k,h264,100.0,yuv444p,False,I-III,21.494963294266558,16.765722863439137,26.38192792768576,18
ica,h264_444_100k,h264,100.0,yuv444p,False,IV-VI,24.424822911807237,18.47441244987481,30.16310342926788,18
ica,h264_444_1600k,h264,1600.0,yuv444p,False,I-III,19.831727109674535,14.804770768952338,25.213369107523693,18
ica,h264_444_1600k,h264,1600.0,yuv444p,False,IV-VI,23.3948354109367,17.265357707345682,29.452115417326535,18
ica,h264_444_200k,h264,200.0,yuv444p,False,I-III,19.79213802292655,14.951807047931716,24.736465040369737,18
ica,h264_444_200k,h264,200.0,yuv444p,False,IV-VI,23.968021453008916,17.964600918777837,30.04393626072031,18
ica,h264_444_400k,h264,400.0,yuv444p,False,I-III,20.02878152299702,15.338293644844821,25.575409542930213,18
ica,h264_444_400k,h264,400.0,yuv444p,False,IV-VI,23.502945636089642,17.774364989233337,29.286456318318223,18
ica,h264_444_800k,h264,800.0,yuv444p,False,I-III,20.545822204754977,15.523190541946537,25.82162149195345,18
ica,h264_444_800k,h264,800.0,yuv444p,False,IV-VI,24.016664911126373,17.683162562239765,30.411974758576104,18
ica,h264_800k,h264,800.0,yuv420p,False,I-III,19.37715617906711,13.828851959955983,25.118100762841216,18
ica,h264_800k,h264,800.0,yuv420p,False,IV-VI,22.547953660302262,16.362516873089664,29.46427484180743,18
ica,h265_100k,h265,100.0,yuv420p,False,I-III,19.490703595417656,14.37083946185622,24.829555091569652,18
ica,h265_100k,h265,100.0,yuv420p,False,IV-VI,23.18102368395112,17.053456535471224,29.195923017551777,18
ica,h265_1600k,h265,1600.0,yuv420p,False,I-III,19.08370795969935,12.852868597802535,26.403232326780188,18
ica,h265_1600k,h265,1600.0,yuv420p,False,IV-VI,22.016645686097164,15.851748215167273,28.165023807406943,18
