subject,fitzpatrick,source,condition,codec,kbps,pix_fmt,lossless,detect_rate,window,method,ref_bpm,est_bpm,quality,confident,w_green,w_chrom,w_pos
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,factorizephys,75.45908678144175,75.81252261018999,0.3690349165727363,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,green,74.97152941070333,51.23551927256015,0.35522092388956994,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,ica,74.97152941070333,51.2896426884178,0.31509441005412886,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,chrom,74.97152941070333,50.589100075908874,0.3887652329305533,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,pos,74.97152941070333,74.48811551670248,0.553374821539736,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,trace_v1,74.97152941070333,51.10385368585052,0.3556684101574423,True,0.7051628696434583,0.193041567882165,0.10179556247437686
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,trace_v2,74.97152941070333,75.63012461233133,0.4079689563085661,True,0.272696884246059,0.2683840881065639,0.4589190276473772
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,trace,74.97152941070333,75.63012461233133,0.4079689563085661,True,0.272696884246059,0.2683840881065639,0.4589190276473772
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,pos_mask,74.97152941070333,75.70307922915526,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,pos_wiener,74.97152941070333,74.4885348916913,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,physnet,74.97152941070333,74.02526377070025,0.5251536051958974,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,6,factorizephys,74.97152941070333,74.2170803995741,0.4548014672667642,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,green,75.20207736668719,53.601260464181486,0.4440546547778597,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,ica,75.20207736668719,53.87391753209053,0.47166727929667707,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,chrom,75.20207736668719,75.59062429810119,0.38716424737834865,,,,
